type,name,label::English,label::Dari,label::Pashto,hint::English,hint::Dari,hint::Pashto,required,relevant,choice_filter,appearance,constraint,constraint_message::English,constraint_message::Dari,constraint_message::Pashto,repeat_count,calculation,media::image
select_multiple factors_list,idp_push_factors,What factors affected this most recent displacement of the majority of your household to ${survey_village}? Multiple options possible. ,?? ?????? ????? ??????? ??? ?? ?????? ??? ?? ???? ???? ???? ??? ?? ????? ???? ??? ????? ?????? ????? ??? ?,??? ?? ??? ???????? ??? ???? ?? ?????? ??? ???? ?? ???? ? ??? ???? ????????? ??? ?? ??? ?? ????? ??? ??? ??????? ????????? ??.,Select all that apply.,????? ?????? ????,??? ??? ?? ???? ????? ?????? ???,TRUE,,,,"not(selected(., ""poverty"") and count-selected(.) = 1) and not(selected(., ""service_access"") and count-selected(.) = 1) and not(selected(., ""poverty"") and selected(., ""service_access"") and count-selected(.) = 2) and not(selected(., ""no_answer"") and count-selected(.) > 1)","Please note that this is not an IDP household, if they were only displaced to access services or better employment. Cannot select ""I don't know or I don't want to answer"" and other options.","?? ??? ????? ????? ?? ??????? ?? ??? ?? ???? ?????? ?? ????? ???? ? ?? ??????? ??????? ???? ?? ???? ??????? ? ??????? ???? ??????. ????? ??? "" ?? ??????? ?? ???????? ???? ????"" ?? ???? ????? ?? ?? ?????? ???? ?????????","?? ??? ???? ?? ??? ????? ???? ?? ????? ?????? ? ?????? ?? ?? ?? ? ??? ???????? ?? ???? ?????? ??? ?? ? ?????? ??? ?????? ?? ???? ?? ?? ???????. ???? ??? ????? ?? "" ?? ?? ?????? ?? ?? ?? ????? ?? ???? ????? "" ?? (???) ?????? ???. ",,,
select_one factors_list,idp_main_push,"If you had to choose a single factor that you consider to have been the final push that made your household displace, which of the ones you just named as reasons for leaving, would you choose? ",?? ??? ?????? ??? ?? ??? ?????. ???? ?????? ???? ???? ???? ???? ??????? ??? ???? ??? ?,??? ?? ??? ???????? ??? ????? ????? ?? ? ?????? ???? ?? ???? ?????? ???? ?? ?????? ???? ???? ??? ?? ? ??????? ? ???? ?? ???? ?????????,,,,TRUE,count-selected(${idp_push_factors}) > 1,"selected(${idp_push_factors}, factors)",,,,,,,,
end group,,,,,,,,,,,,,,,,,,
begin group,b5,IDP returnees,??????? ??? ???? ????? ???  ?????,??? ????? ?? ?? ???? ?? ?????? ??? ?? ?? ????? ??? ???? ??? ?? ?? ???? ??? ??,,,,,"${displacement_status} = ""idp_returnees""",,,,,,,,,
select_multiple factors_list,idp_return_push_factors,What factors affected your most recent displacement from your AoO?,?? ????? ???? ??? ?? ?? ??? ??? ????? ???? ??? ?? ??? ??????,??? ????? ?? ?? ???? ?? ?? ???? ???? ?? ?????? ???? ?? ????? ???? (??? ??????? ????????? ??),Select all that apply.,????? ?????? ????,??? ??? ?? ???? ????? ?????? ???,TRUE,,,,"not(selected(., ""no_answer"") and count-selected(.) > 1)","Cannot select ""I don't know or I don't want to answer"" and other options.","????? ??? "" ?? ??????? ?? ???????? ???? ????"" ?? ???? ????? ?? ?? ?????? ???? ?????????","???? ??? ????? ?? "" ?? ?? ?????? ?? ?? ?? ????? ?? ???? ????? "" ?? (???) ?????? ???. ",,,
select_one factors_list,idp_return_main_push,"If you had to choose a single factor that you consider to have been the final push that made you leave your AoO previously, which of the ones you just named as reasons for leaving, would you choose? ",??? ????? ????? ?? ?? ?????? ?? ?? ????? ???? ???? ??? ?? ??? ????? ???? ??? ??? ??? ????. ???? ???? ????? ??? ???? ??? ?????? ??? ?? ??? ?????,?? ???? ????  ???? ?? ???? ???? ??? ??? ?? ???? ?? ?????? ???? ?? ???? ? ???? ????? ??????? ?? ????? ??? ??? ???? ??? ?? ? ??????? ? ???? ?? ???? ?????????,,,,TRUE,count-selected(${idp_return_push_factors}) > 1,"selected(${idp_return_push_factors}, factors)",,,,,,,,
select_multiple idp_returns_pull_factor_list,idp_return_pull_factors,What was the reason that made you decide to return to your area of origin?,???? ????? ?? ?? ????? ???? ??? ??????? ?? ???? ??? ?,???? ???? ????? ??? ???? ??? ?? ????? ??? ???? ?? ?? ???,,,,TRUE,,,,"not(selected(., ""no_answer"") and count-selected(.) > 1)","Cannot select ""I don't know or I don't want to answer"" and other options.","????? ??? "" ?? ??????? ?? ???????? ???? ????"" ?? ???? ????? ?? ?? ?????? ???? ?????????","???? ??? ????? ?? "" ?? ?? ?????? ?? ?? ?? ????? ?? ???? ????? "" ?? (???) ?????? ???. ",,,
end group,,,,,,,,,,,,,,,,,,
select_multiple returnee_incidents_list,returnee_incidents,When you returned to your community did you experience any of the following?,???? ?? ??? ?? ????? ??? ?? ????? ??? ????? ??? ????,??? ?? ???? ???? ????? ?? ??????? ???? ??? ???? ?? ????? ??????? ??? ?? ????,,,,TRUE,"${displacement_status} = ""idp_returnees"" or ${displacement_status} = ""cross_border_returnees""",,,"not(selected(., ""none"") and count-selected(.) > 1)","Cannot select ""None of the above"" and other options.","????? "" ??? ???? ?? ????? ??? "" ? ???? ????? ?? ?? ?????? ???? ????????? ","???? ??? ????? ?? ""??? ?? ? ????? ??? ???? ??? "" ?? (???) ?????? ???.",,,
begin group,b7,Events,??????,????,,,,,,,,,,,,,,
note,events_note,"Note: Aside from any displacement, now we will briefly talk about any major events that your household may have experienced, or not, in the last year.",???: ?? ????? ???? ??? ??? ???? ?? ?? ???? ?????? (?????? ??? ????) ?? ?????? ??????? ??? ?? ??? ????? ????? ???? ??? ???? ??????,??????: ? ?????? ????? ??????? ??? ?? ??? ?? ???? ???? ? ??? ???? ???? ?? ??? ?? ????? ????? ?? ??? ??? ?? ????? ??? ?? ?? ?? ??? ????? ???? ?????,,,,,,,,,,,,,,
select_multiple major_events_list,major_events,Has the majority of your household directly experienced any major conflict or natural disaster events in the past year? Multiple answers possible. ,??? ?????? ????? ??????? ??? ??????? ????? (???) ?? ???? ????? ?? ?? ??? ????? ????? ???? ????,??? ????? ????? ?????? ??? ?? ??? ??? ?? ?? ?????? ??? ??? ???? ???? ???? ?? ????? ???? ??? ?? ??? ??? ?? ??????? ???? ??.,,,,TRUE,,,,"not(selected(., ""none"") and count-selected(.) > 1)","Cannot select ""None of the above"" and other options.","????? "" ??? ???? ?? ????? ??? "" ? ???? ????? ?? ?? ?????? ???? ????????? ","???? ??? ????? ?? ""??? ?? ? ????? ??? ???? ??? "" ?? (???) ?????? ???.",,,
select_one livestock_impact_list,livestock_impact,Did this/these events have a negative impact on any owned livestock at the time?,??? ??? ????? ????? ????? ??? ??? ???? ?????,??? ??/??? ???? ??? ??? ?? ??  ??????? ????? ???? ???? ????? ???????,,,,TRUE,"not(selected(${major_events}, ""none""))",,,,,,,,,
select_multiple livestock_impact_how_list,livestock_impact_how,What exactly have been the negative impacts noted on livestock due to the shock event?,????? ???? ????? ?? ?????? ????? ??? ?? ???? ?? ??? ? ?????? ????? ???? ????? ????? ??? ????? ???? ?????,?? ?????? ???? ? ?????? ?? ???? ???/???? ?? ?????? ????? ???? ???? ????? ??? ??. ,,,,TRUE,"selected(${livestock_impact}, ""yes"")",,,,,,,,,
select_one agricultural_impact_list,agricultural_impact,Did this/these event/events have a negative impact on any owned agricultural production at the time?,??? ??? ????? ????? ??????? ????? ??? ??? ???? ?????,??? ??/??? ???? ??? ??? ?? ??  ?????? ???????? ????? ???? ???? ????? ???????,,,,TRUE,"not(selected(${major_events}, ""none""))",,,,,,,,,
select_one agricultural_impact_how_list,agricultural_impact_how,By how much do you think the agricultural production decrease due to the shock event?,??? ??? ?????? ?? ?? ?? ?????? ????? ??? ??? ? ????? ??????? ????? ??? ?? ???? ???? ????,?? ?????? ???? ? ??????? ???????? ?? ???? ???? ?? ??? ??? ?? ?? ???? ?????? ?????? ??????? ? ???/???? ?? ???? ???? ??? ??.,,,,TRUE,"selected(${agricultural_impact}, ""yes"")",,,,,,,,,
select_multiple other_impact_list,other_impact,Did this/these events impact your household in any other way?,??? ??? ?????/?????? ???? ????? ???? ????? ??????? ??? ????? ,??? ????? ????/???? ????? ?? ????? ????? ???? ???? ????? ?? ??????? (??? ??????? ???? ??) ,,,,TRUE,"not(selected(${major_events}, ""none""))",,,"not(selected(., ""none"") and count-selected(.) > 1)","Cannot select ""None of the above"" and other options.","????? "" ??? ???? ?? ????? ??? "" ? ???? ????? ?? ?? ?????? ???? ????????? ","???? ??? ????? ?? ""??? ?? ? ????? ??? ???? ??? "" ?? (???) ?????? ???.",,,
end group,,,,,,,,,,,,,,,,,,
begin group,b8,Future plans,??????? ?????,???????? ???????,,,,,,,,,,,,,,
note,future_plans_note,"Note: Now we will talk about the future plans, of the majority of the household.",???: ???? ?? ???????? ?? ?? ???? ???? ??? ????? ?????? ?????? ??? ??? ?????.,??????: ??? ?? ???? ? ?????? ?????? ? ???????? ??????? ?? ??? ???? ????.,,,,,,,,,,,,,,
select_one idp_returnee_intentions_list,idp_returnee_intentions,What are the majority of your household's current movement intentions for the next six months? ,?? ?? ??? ????? ????? ?????? ????? ??????? ??? ???? ???? ??? ????,? ???????? ???? ?????? ????? ????? ? ????? ? ?????? ??? ?????? ? ?????? ???? ????? ?? ??? ,,,,TRUE,"${displacement_status} = ""idp"" or (${displacement_status} = ""cross_border_returnees"" and selected(${area_origin}, ""no"")) or ${displacement_status} = ""refugees""",,,,,,,,,
select_multiple return_aoo_factors_list,return_aoo_factors,What are the main reasons why you currently intend to return to your area of origin?,???? ????? ???????? ?? ????? ???? ??? ????? ???? ?? ???????,????? ? ?????  ???? ????? ?? ? ????? ?????? ????? ???? ????? ?? ??? ,Maximum of three responses.,?????? 3 ????,?? ? ??????? ???? ?????? ????? ??.,TRUE,"selected(${idp_returnee_intentions}, ""return_aoo"") and selected(${area_origin}, ""no"")",,,count-selected(.) <= 3,Cannot select more than 3 responses.,????? ?? 3 ???? ?????? ???? ?????????,???? ??? ????? ?? ?? ? ??? ??????? ?????? ???.,,,
select_multiple return_aoo_needs_list,return_aoo_needs,What are your household's main needs that would help your household return to your area of origin?,???? ??? ???? ??????? ??? ??????? ??????? ??? ?? ???? ?????? ?? ????? ???? ??? ??? ????? ?? ????? ????,????? ? ????? ????? ??????? ???? ?? ?? ????? ????? ??? ???? ???? ????? ?? ?? ????????? ?? ????? ???? (???? ?? ???? 3 ?????? ???),Maximum of three responses.,?????? 3 ????,?? ? ??????? ???? ?????? ????? ??.,TRUE,"not(selected(${idp_returnee_intentions}, ""return_aoo"")) and selected(${area_origin}, ""no"")",,,"not(selected(., ""none"") and count-selected(.) > 1) and count-selected(.) <= 3","Cannot select ""None"" and other options.","????? "" ??? ???? ?? ????? ??? "" ? ???? ????? ?? ?? ?????? ???? ????????? ","???? ??? ????? ?? ""??? ?? ? ????? ??? ???? ??? "" ?? (???) ?????? ???.",,,
select_one aoo_intentions_list,aoo_intentions,What are the majority of your household's current movement intentions for the next six months?,?? ?? ??? ????? ????? ?????? ????? ??????? ??? ???? ???? ??? ????,? ???????? ???? ?????? ????? ????? ? ????? ? ?????? ??? ?????? ? ?????? ???? ????? ?? ??? ,,,,TRUE,"not(${displacement_status} = ""idp"" or (${displacement_status} = ""cross_border_returnees"" and selected(${area_origin}, ""no"")) or ${displacement_status} = ""refugees"")",,,,,,,,,
end group,,,,,,,,,,,,,,,,,,
end group,,,,,,,,,,,,,,,,,,
begin group,C,"Household composition, situation, and education",????? ???????? ????? ??????? ? ???????,? ????? ?????? ?????? ?? ?????,,,,,"selected(${consent}, ""yes"")",,,,,,,,,
note,household_note,Now we will talk a bit about the general composition and siutation of your household.,???: ???? ?? ???????? ?? ???? ????? ???? ? ???? ??????? ??? ???? ?????,??????: ??? ?? ???? ????? ? ????? ????? ????? ?? ????? ?? ??? ???? ????.,,,,,,,,,,,,,,
integer,hh_size,How many individuals are living in the household?,??? ??? ?? ??????? ????? ????? ? ?? ???? ??? ??? ? ???? ?? ?? ?????? ??????? ?,???? ?? ????? ?? ?? ???? ?????  ,,,,TRUE,,,,. >= 1 and . <= 30,Most be greater than 0 and 30 or less,???? ????? ?? 0 ? 30 ?? ???? ?? ??,???? ?? ??? (?) ??? ?? ?? ?? ?? ?? ?? ??? ????? ??. ,,,
select_one sex_list,hoh_sex,Sex of head of household:,????? ?????? ???????,? ????? ? ??? ?????,,,,TRUE,,,,,,,,,,
integer,hoh_age,Age of head of household:,?? ?????? ???????,? ????? ? ??? ???,Age should be provided in years.,?? ???? ?? ??? ??? ???,??? ???? ?? ????? ????? ??. ,TRUE,,,,. >= 15 and . < 130,head of household must be at least 15 years of age,?????? ??????? ???? ???? ?? 15 ??? ?????,? ????? ??? ???? ?? 15 ????? ?? ?? ?? ??,,,
select_one yn_list,hoh_joined,Did this person join the household after the beginning of Ramadan this year?,??? ??? ??? ??? ?? ???? ????? ????? ?? ??? ??????? ????? ??? ????,??? ??? ??? ????? ???? ? ??? ??? ?????? ????? ??? ?? ??? ???,,,,TRUE,,,,,,,,,,
begin group,Education_hoh,Education,????? ,?????,,,,,${hoh_age} <= 18,,,,,,,,,
select_one yn_list,current_year_enrolled_hoh,Was this individual enrolled in formal schooling or CBE in the most recent school year?,??? ??? ??? ????? ???? ???? ???? ?? ???? ?????? ???? ???,??? ??? ??? ????? ?? ????/?????? ?????? ???? ?? ???? ??? ???,,,,TRUE,,,,,,,,,,
select_one yn_list,current_year_attending_hoh,Did this individual attend formal schooling or CBE at least 3 days per week in the most recent school year?, ??? ??? ??????? ?? ??? ?????? ???? ????? ???? ?? ??? ????? ?? ???? ????/???? ???????,??? ??? ??? ?? ???? ?????? ??? ?? ?? ?? ??? ?? ??? ???? ?? 3 ???? ?? ???? ?????? ?? ? ????? ??????? ??? ??? (CBE) ??????? ?? ????? ??????,,,,TRUE,"selected(${current_year_enrolled_hoh}, ""yes"")",,,,,,,,,
select_one yn_list,previous_year_enrolled_hoh,Was this individual enrolled in formal schooling or CBE in the previous school year?,??? ??? ??? ?? ??? ?????? ????? ???? ???? ?? ???? ?????? ???? ????,??? ??? ???  ?? ??? ?????? ??? ??  ?? ????/?????? ?????? ???? ?? ???? ??? ???,,,,TRUE,,,,,,,,,,
select_multiple edu_removal_shock_list,edu_removal_shock_hoh,Were they removed from school in the past year due to event/shock? (e.g. school was closed or damaged due to conflict or natural disaster),??? ????? ??? ???? ????? ?? ???? ?? ??? ????? (?????? ???? ? ????? ??? ???? ?? ??? ??? ? ?? ???? ???? ???? ??? ?) ,?? ??? ??? ??? ?? ??? ??? ?? ? ????/???? ?? ???? ??????? ??? ????? ??? ??? (????? ? ??? ?? ????? ???? ?? ???? ?????? ??? ??? ?? ??????? ???),,,,TRUE,"selected(${current_year_enrolled_hoh}, ""no"") and selected(${previous_year_enrolled_hoh}, ""yes"")",,,"not(selected(., ""no"") and count-selected(.) > 1)","Cannot select ""None of the above"" and other options.","????? "" ??? ???? ?? ????? ??? "" ? ???? ????? ?? ?? ?????? ???? ????????? ","???? ??? ????? ?? ""??? ?? ? ????? ??? ???? ??? "" ?? (???) ?????? ???.",,,
end group,,,,,,,,,,,,,,,,,,
note,hh_member_loop_note,We will now ask you about each other household member. Start with the youngest member of the household and go to the oldest.',??? ?? ???????? ?? ?? ???? ?? ??? ??????? ???? ??????. ???? ?? ???????? ??? ??????? ???? ????? ? ?? ?? ??????? ????? ????. ,???? ?? ??? ????? ?  ????? ? ??? ?? ??? ?????? ????. ??????? ????  ? ????? ?? ???? ????? ??? ??? ???? ??  ?? ???? ??? ??? ???? ???? ?????.,,,,,,,,,,,,,,
begin repeat,c1,Other household member information,??????? ?? ???? ???? ????? ???????,? ????? ? ???? ??? ???????,,,,,,,,,,,,${hh_size}-1,,
calculate,hh_member,,,,,,,,,,,,,,,,position(..)+1,
select_one sex_list,hh_member_sex,Sex of household member #${hh_member}:,???,?????,,,,TRUE,,,,,,,,,,
integer,hh_member_age,Age of household member #${hh_member}:,???,???,Age should be provided in years. Put 0 if the child has not reached their first birthday.,"?? ???? ?? ??? ??? ???, ??? ???? ?? ?? ??? ??? 0 ????? ??????",??? ???? ?? ????? ??? ????? ??. ??? (?) ??? ??? ????? ??? ?? ?? ???? ?? ??? ??? ?? ??.,TRUE,,,,. >= 0 and . < 130,Household member cannot be age less than 0 or greater than 130,?? ????? ??????? ???? ?? 0 ? ???? ?? ?? 130 ???? ????????,? ????? ? ??? ??? ???? ?? ??? (?) ?? ?? ?? ??? ????? ?? ??. ,,,
select_one yn_list,hh_member_joined,Did this person join the household after the beginning of Ramadan this year?,??? ??? ??? ??? ?? ???? ????? ????? ?? ??? ??????? ????? ??? ????,??? ??? ??? ????? ???? ? ??? ??? ?????? ????? ??? ?? ??? ???,,,,TRUE,,,,,,,,,,
select_one yn_list,hh_member_born,Was this person born on or after the beginning of Ramadan this year?,??? ??? ??? ?? ??? ????? ????? ?? ??? ?? ??? ????? ????? ????? ???? ????,??? ??? ????? ?? ???  ?? ???? ?? ?? ?? ?? ? ???? ?? ??? ??? ?????? ???? ????,,,,TRUE,${hh_member_age} = 0,,,,,,,,,
select_one yn_list,hh_member_6_months,Is this person older than 6 months?,??? ??? ??? ?????? ?? 6 ??? ????,??? ?? ????? ?? ???? ?????? ?? ??? ??? ????,,,,TRUE,${hh_member_age} = 0,,,,,,,,,
begin group,c1_1,Education,????? ,?????,,,,,${hh_member_age} >= 6 and ${hh_member_age} <= 18,,,,,,,,,
select_one yn_list,current_year_enrolled,Was this individual enrolled in formal schooling or CBE in the most recent school year?,??? ??? ??? ????? ???? ???? ???? ?? ???? ?????? ???? ???,??? ??? ??? ????? ?? ????/?????? ?????? ???? ?? ???? ??? ???,,,,TRUE,,,,,,,,,,
select_one yn_list,current_year_attending,Did this individual attend formal schooling or CBE at least 3 days per week in the most recent school year?, ??? ??? ??????? ?? ??? ?????? ???? ????? ???? ?? ??? ????? ?? ???? ????/???? ???????,??? ??? ??? ?? ???? ?????? ??? ?? ?? ?? ??? ?? ??? ???? ?? 3 ???? ?? ???? ?????? ?? ? ????? ??????? ??? ??? (CBE) ??????? ?? ????? ??????,,,,TRUE,"selected(${current_year_enrolled}, ""yes"")",,,,,,,,,
select_one yn_list,previous_year_enrolled,Was this individual enrolled in formal schooling or CBE in the previous school year?, ??? ??? ??????? ?? ??? ?????? ????? ????? ???? ?? ??? ????? ?? ???? ????/???? ???????,??? ??? ???  ?? ??? ?????? ??? ??  ?? ????/?????? ?????? ???? ?? ???? ??? ???,,,,TRUE,,,,,,,,,,
select_multiple edu_removal_shock_list,edu_removal_shock,Were they removed from school in the past year due to event/shock? (e.g. school was closed or damaged due to conflict or natural disaster),??? ????? ??? ???? ????? ?? ???? ?? ??? ????? (?????? ???? ? ????? ??? ???? ?? ??? ??? ? ?? ???? ???? ???? ??? ?) ,?? ??? ??? ??? ?? ??? ??? ?? ? ????/???? ?? ???? ??????? ??? ????? ??? ??? (????? ? ??? ?? ????? ???? ?? ???? ?????? ??? ??? ?? ??????? ???),,,,TRUE,"selected(${current_year_enrolled}, ""no"") and selected(${previous_year_enrolled}, ""yes"")",,,"not(selected(., ""no"") and count-selected(.) > 1)","Cannot select ""None of the above"" and other options.","????? "" ??? ???? ?? ????? ??? "" ? ???? ????? ?? ?? ?????? ???? ????????? ","???? ??? ????? ?? ""??? ?? ? ????? ??? ???? ??? "" ?? (???) ?????? ???.",,,
end group,,,,,,,,,,,,,,,,,,
calculate,unattending_female,,,,,,,,,,,,,,,,"if(selected(${current_year_attending}, ""no"") and selected(${hh_member_sex}, ""female""), ""1"", ""0"")",
calculate,unattending_male,,,,,,,,,,,,,,,,"if(selected(${current_year_attending}, ""no"") and selected(${hh_member_sex}, ""male""), ""1"", ""0"")",
calculate,unattending_female_no_shock,,,,,,,,,,,,,,,,"if((selected(${edu_removal_shock}, ""no"") or (selected(${current_year_enrolled}, ""no"") and selected(${previous_year_enrolled}, ""no""))) and selected(${hh_member_sex}, ""female""), ""1"", ""0"")",
calculate,unattending_male_no_shock,,,,,,,,,,,,,,,,"if((selected(${edu_removal_shock}, ""no"") or (selected(${current_year_enrolled}, ""no"") and selected(${previous_year_enrolled}, ""no""))) and selected(${hh_member_sex}, ""male""), ""1"", ""0"")",
calculate,male_0_2,,,,,,,,,,,,,,,,"if(selected(${hh_member_sex}, ""male""), if(${hh_member_age} <= 2, ""1"", ""0""), ""0"")",
calculate,male_3_5,,,,,,,,,,,,,,,,"if(selected(${hh_member_sex}, ""male""), if(${hh_member_age} > 2 and ${hh_member_age} <= 5, ""1"", ""0""), ""0"")",
calculate,male_6_12,,,,,,,,,,,,,,,,"if(selected(${hh_member_sex}, ""male""), if(${hh_member_age} > 5 and ${hh_member_age} <= 12, ""1"", ""0""), ""0"")",
calculate,male_13_18,,,,,,,,,,,,,,,,"if(selected(${hh_member_sex}, ""male""), if(${hh_member_age} > 12 and ${hh_member_age} <= 18, ""1"", ""0""), ""0"")",
calculate,male_11_17,,,,,,,,,,,,,,,,"if(selected(${hh_member_sex}, ""male""), if(${hh_member_age} > 10 and ${hh_member_age} <= 17, ""1"", ""0""), ""0"")",
calculate,male_18_plus,,,,,,,,,,,,,,,,"if(selected(${hh_member_sex}, ""male""), if(${hh_member_age} > 17, ""1"", ""0""), ""0"")",
calculate,male_19_59,,,,,,,,,,,,,,,,"if(selected(${hh_member_sex}, ""male""), if(${hh_member_age} > 18 and ${hh_member_age} <= 59, ""1"", ""0""), ""0"")",
calculate,male_60_plus,,,,,,,,,,,,,,,,"if(selected(${hh_member_sex}, ""male""), if(${hh_member_age} > 59, ""1"", ""0""), ""0"")",
calculate,female_0_2,,,,,,,,,,,,,,,,"if(selected(${hh_member_sex}, ""female""), if(${hh_member_age} <= 2, ""1"", ""0""), ""0"")",
calculate,female_3_5,,,,,,,,,,,,,,,,"if(selected(${hh_member_sex}, ""female""), if(${hh_member_age} > 2 and ${hh_member_age} <= 5, ""1"", ""0""), ""0"")",
calculate,female_6_12,,,,,,,,,,,,,,,,"if(selected(${hh_member_sex}, ""female""), if(${hh_member_age} > 5 and ${hh_member_age} <= 12, ""1"", ""0""), ""0"")",
calculate,female_13_18,,,,,,,,,,,,,,,,"if(selected(${hh_member_sex}, ""female""), if(${hh_member_age} > 12 and ${hh_member_age} <= 18, ""1"", ""0""), ""0"")",
calculate,female_11_17,,,,,,,,,,,,,,,,"if(selected(${hh_member_sex}, ""female""), if(${hh_member_age} > 10 and ${hh_member_age} <= 17, ""1"", ""0""), ""0"")",
calculate,female_11_59,,,,,,,,,,,,,,,,"if(selected(${hh_member_sex}, ""female""), if(${hh_member_age} > 10 and ${hh_member_age} <= 59, ""1"", ""0""), ""0"")",
calculate,female_18_plus,,,,,,,,,,,,,,,,"if(selected(${hh_member_sex}, ""female""), if(${hh_member_age} > 17, ""1"", ""0""), ""0"") ",
calculate,female_19_59,,,,,,,,,,,,,,,,"if(selected(${hh_member_sex}, ""female""), if(${hh_member_age} > 18 and ${hh_member_age} <= 59, ""1"", ""0""), ""0"")",
calculate,female_60_plus,,,,,,,,,,,,,,,,"if(selected(${hh_member_sex}, ""female""), if(${hh_member_age} > 59, ""1"", ""0""), ""0"")",
calculate,boy,,,,,,,,,,,,,,,,"if(selected(${hh_member_sex}, ""male""), if(${hh_member_age} < 16, ""1"", ""0""), ""0"")",
calculate,girl,,,,,,,,,,,,,,,,"if(selected(${hh_member_sex}, ""female""), if(${hh_member_age} < 16, ""1"", ""0""), ""0"")",
calculate,muac,,,,,,,,,,,,,,,,"if((${hh_member_age} > 0 and ${hh_member_age} < 5) or (${hh_member_age} = 0 and selected(${hh_member_6_months}, ""yes"")), ""1"", ""0"")",
calculate,mdd,,,,,,,,,,,,,,,,"if((${hh_member_age} = 1) or (${hh_member_age} = 0 and selected(${hh_member_6_months}, ""yes"")), ""1"", ""0"")",
calculate,literacy_age_male,,,,,,,,,,,,,,,,"if(selected(${hh_member_sex}, ""male""), if(${hh_member_age} > 10, ""1"", ""0""), ""0"")",
calculate,literacy_age_female,,,,,,,,,,,,,,,,"if(selected(${hh_member_sex}, ""female""), if(${hh_member_age} > 10, ""1"", ""0""), ""0"")",
calculate,boys_marriage_range,,,,,,,,,,,,,,,,"if(selected(${hh_member_sex}, ""male""), if(${hh_member_age} > 5 and ${hh_member_age} < 16, ""1"", ""0""), ""0"")",
calculate,girls_marriage_range,,,,,,,,,,,,,,,,"if(selected(${hh_member_sex}, ""female""), if(${hh_member_age} > 5 and ${hh_member_age} < 16, ""1"", ""0""), ""0"")",
end repeat,,,,,,,,,,,,,,,,,,
calculate,unattending_female_total,,,,,,,,,,,,,,,,"sum(${unattending_female}) + if(selected(${current_year_attending_hoh}, ""no"") and selected(${hoh_sex}, ""female""), ""1"", ""0"")",
calculate,unattending_male_total,,,,,,,,,,,,,,,,"sum(${unattending_male}) + if(selected(${current_year_attending_hoh}, ""no"") and selected(${hoh_sex}, ""male""), ""1"", ""0"")",
calculate,unattending_total,,,,,,,,,,,,,,,,${unattending_female_total} + ${unattending_male_total},
calculate,unattending_female_no_shock_total,,,,,,,,,,,,,,,,"sum(${unattending_female_no_shock}) + if((selected(${edu_removal_shock_hoh}, ""no"") or (selected(${current_year_enrolled_hoh}, ""no"") and selected(${previous_year_enrolled_hoh}, ""no""))) and selected(${hoh_sex}, ""female""), ""1"", ""0"")",
calculate,unattending_male_no_shock_total,,,,,,,,,,,,,,,,"sum(${unattending_male_no_shock}) + if((selected(${edu_removal_shock_hoh}, ""no"") or (selected(${current_year_enrolled_hoh}, ""no"") and selected(${previous_year_enrolled_hoh}, ""no""))) and selected(${hoh_sex}, ""male""), ""1"", ""0"")",
calculate,unattending_no_shock_total,,,,,,,,,,,,,,,,${unattending_female_no_shock_total} + ${unattending_male_no_shock_total},
calculate,males_0_2_total,,,,,,,,,,,,,,,,sum(${male_0_2}),
calculate,males_3_5_total,,,,,,,,,,,,,,,,sum(${male_3_5}),
calculate,males_6_12_total,,,,,,,,,,,,,,,,sum(${male_6_12}),
calculate,males_13_18_total,,,,,,,,,,,,,,,,"sum(${male_13_18}) + if(selected(${hoh_sex}, ""male""), if(${hoh_age} > 12 and ${hoh_age} <= 18, ""1"", ""0""), ""0"")",
calculate,males_11_17_total,,,,,,,,,,,,,,,,"sum(${male_11_17}) + if(selected(${hoh_sex}, ""male""), if(${hoh_age} > 10 and ${hoh_age} <= 17, ""1"", ""0""), ""0"")",
calculate,males_18_plus_total,,,,,,,,,,,,,,,,"sum(${male_18_plus}) + if(selected(${hoh_sex}, ""male""), if(${hoh_age} > 17, ""1"", ""0""), ""0"")",
calculate,males_19_59_total,,,,,,,,,,,,,,,,"sum(${male_19_59}) + if(selected(${hoh_sex}, ""male""), if(${hoh_age} > 18 and ${hoh_age} <= 59, ""1"", ""0""), ""0"")",
calculate,males_60_plus_total,,,,,,,,,,,,,,,,"sum(${male_60_plus}) + if(selected(${hoh_sex}, ""male""), if(${hoh_age} > 59, ""1"", ""0""), ""0"")",
calculate,females_0_2_total,,,,,,,,,,,,,,,,sum(${female_0_2}),
calculate,females_3_5_total,,,,,,,,,,,,,,,,sum(${female_3_5}),
calculate,females_6_12_total,,,,,,,,,,,,,,,,sum(${female_6_12}),
calculate,females_13_18_total,,,,,,,,,,,,,,,,"sum(${female_13_18}) + if(selected(${hoh_sex}, ""female""), if(${hoh_age} > 12 and ${hoh_age} <= 18, ""1"", ""0""), ""0"")",
calculate,females_11_17_total,,,,,,,,,,,,,,,,"sum(${female_11_17}) + if(selected(${hoh_sex}, ""female""), if(${hoh_age} > 10 and ${hoh_age} <= 17, ""1"", ""0""), ""0"")",
calculate,females_18_plus_total,,,,,,,,,,,,,,,,"sum(${female_18_plus}) + if(selected(${hoh_sex}, ""female""), if(${hoh_age} > 17, ""1"", ""0""), ""0"")",
