"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"134","In which district was the majority of your household residing before arriving in your current location? ",NA,"Guldara","NA",1.19413816340612e-05,NA,-1.15260160469857e-05,3.54087793151081e-05,NA,NA
"135","In which district was the majority of your household residing before arriving in your current location? ",NA,"Gulistan","NA",0.000223556958005555,NA,-1.43971615469083e-06,0.000448553632165802,NA,NA
"136","In which district was the majority of your household residing before arriving in your current location? ",NA,"Gulran","NA",0.00293020508257565,NA,-0.000642878018466204,0.0065032881836175,NA,NA
"137","In which district was the majority of your household residing before arriving in your current location? ",NA,"Gurbuz","NA",1.39313311343883e-05,NA,-6.38696547732419e-06,3.42496277461008e-05,NA,NA
"138","In which district was the majority of your household residing before arriving in your current location? ",NA,"Gurzewan","NA",0.00524311646515772,NA,0.00255916989128983,0.00792706303902561,NA,NA
"139","In which district was the majority of your household residing before arriving in your current location? ",NA,"Guzara","NA",0.000508389925246883,NA,0.000168199379228035,0.00084858047126573,NA,NA
"140","In which district was the majority of your household residing before arriving in your current location? ",NA,"Guzargah-e-Nur","NA",8.81858954243132e-05,NA,-8.94779261506014e-06,0.000185319583463687,NA,NA
"141","In which district was the majority of your household residing before arriving in your current location? ",NA,"Hazar Sumuch","NA",0.000676988826657808,NA,-0.000118119821098225,0.00147209747441384,NA,NA
"142","In which district was the majority of your household residing before arriving in your current location? ",NA,"Hazrat-e-Sultan","NA",0.000478791822813135,NA,5.47537411945548e-05,0.000902829904431715,NA,NA
"143","In which district was the majority of your household residing before arriving in your current location? ",NA,"Hesa-e-Awal-e-Behsud","NA",0.0014588937987138,NA,0.000499898706499836,0.00241788889092776,NA,NA
"144","In which district was the majority of your household residing before arriving in your current location? ",NA,"Hesarak","NA",0.00122337500799574,NA,0.000153013458136787,0.0022937365578547,NA,NA
"145","In which district was the majority of your household residing before arriving in your current location? ",NA,"Hirat","NA",0.00145519038154398,NA,0.000523379766815066,0.0023870009962729,NA,NA
"146","In which district was the majority of your household residing before arriving in your current location? ",NA,"Hisa-e-Duwum-e-Kohistan","NA",1.11135675142327e-06,NA,-1.07262204140761e-06,3.29533554425416e-06,NA,NA
"147","In which district was the majority of your household residing before arriving in your current location? ",NA,"Imam Sahib","NA",0.00561944035327117,NA,0.00305075875872574,0.0081881219478166,NA,NA
"148","In which district was the majority of your household residing before arriving in your current location? ",NA,"Injil","NA",0.000716009440331762,NA,-0.000138822176376473,0.00157084105704,NA,NA
"149","In which district was the majority of your household residing before arriving in your current location? ",NA,"Jabal Saraj","NA",7.479349330887e-05,NA,-4.632921645447e-05,0.00019591620307221,NA,NA
"150","In which district was the majority of your household residing before arriving in your current location? ",NA,"Jaghatu","NA",0.000977073436209031,NA,0.000320420482283433,0.00163372639013463,NA,NA
"151","In which district was the majority of your household residing before arriving in your current location? ",NA,"Jaghatu (Ghazni)","NA",0.000816199514964621,NA,0.000205860507494123,0.00142653852243512,NA,NA
"152","In which district was the majority of your household residing before arriving in your current location? ",NA,"Jaghuri","NA",0.00777729006638203,NA,-0.001141679483213,0.0166962596159771,NA,NA
"153","In which district was the majority of your household residing before arriving in your current location? ",NA,"Jaji","NA",0.000601937043303789,NA,-0.000210217180785136,0.00141409126739271,NA,NA
"154","In which district was the majority of your household residing before arriving in your current location? ",NA,"Jaji Maydan","NA",6.83305842157564e-05,NA,1.44049318335882e-05,0.000122256236597925,NA,NA
"155","In which district was the majority of your household residing before arriving in your current location? ",NA,"Jalalabad","NA",0.000764768734297907,NA,0.000163650646334483,0.00136588682226133,NA,NA
"156","In which district was the majority of your household residing before arriving in your current location? ",NA,"Jalrez","NA",0.00339183609374092,NA,0.00155021742161587,0.00523345476586596,NA,NA
"157","In which district was the majority of your household residing before arriving in your current location? ",NA,"Jani Khel","NA",0.000139862299563818,NA,-3.98030900050979e-05,0.000319527689132734,NA,NA
"158","In which district was the majority of your household residing before arriving in your current location? ",NA,"Jani Khel (Paktya)","NA",0.00310440393629744,NA,0.00167996644609036,0.00452884142650453,NA,NA
"159","In which district was the majority of your household residing before arriving in your current location? ",NA,"Jawand","NA",0.00759854522442742,NA,0.00317498278767509,0.0120221076611798,NA,NA
"160","In which district was the majority of your household residing before arriving in your current location? ",NA,"Jorm","NA",0.00214592190083187,NA,0.000913779668657301,0.00337806413300644,NA,NA
"161","In which district was the majority of your household residing before arriving in your current location? ",NA,"Kabul","NA",0.00180430934580269,NA,0.000741162376751535,0.00286745631485385,NA,NA
"162","In which district was the majority of your household residing before arriving in your current location? ",NA,"Kahmard","NA",9.05195969823039e-05,NA,-3.38642353013333e-05,0.000214903429265941,NA,NA
"163","In which district was the majority of your household residing before arriving in your current location? ",NA,"Kajaki","NA",0.00187030140107021,NA,0.000745855483489094,0.00299474731865132,NA,NA
"164","In which district was the majority of your household residing before arriving in your current location? ",NA,"Kajran","NA",0.00231237405481796,NA,0.000469379297023579,0.00415536881261233,NA,NA
"165","In which district was the majority of your household residing before arriving in your current location? ",NA,"Kakar","NA",0.000495737276984165,NA,-5.84590925416218e-05,0.00104993364650995,NA,NA
"166","In which district was the majority of your household residing before arriving in your current location? ",NA,"Kalafgan","NA",0.000258597596174433,NA,-4.58931572314024e-05,0.000563088349580269,NA,NA
"167","In which district was the majority of your household residing before arriving in your current location? ",NA,"Kalakan","NA",4.42227906875321e-05,NA,-4.26754589293301e-05,0.000131121040304394,NA,NA
"168","In which district was the majority of your household residing before arriving in your current location? ",NA,"Kalbad","NA",0.000166605266517555,NA,-6.31588229577598e-05,0.00039636935599287,NA,NA
"169","In which district was the majority of your household residing before arriving in your current location? ",NA,"Kaldar","NA",0.000412914403252821,NA,-3.71947686163808e-06,0.000829548283367279,NA,NA
"170","In which district was the majority of your household residing before arriving in your current location? ",NA,"Kama","NA",0.000732563462699248,NA,-4.98426424880928e-05,0.00151496956788659,NA,NA
"171","In which district was the majority of your household residing before arriving in your current location? ",NA,"Kamdesh","NA",0.000101505349696058,NA,4.81181729338205e-06,0.000198198882098734,NA,NA
"172","In which district was the majority of your household residing before arriving in your current location? ",NA,"Kandahar","NA",0.00394509552782494,NA,0.00225985544373906,0.00563033561191082,NA,NA
"173","In which district was the majority of your household residing before arriving in your current location? ",NA,"Kang","NA",6.08710469366142e-05,NA,-5.87324357888691e-05,0.000180474529662097,NA,NA
"174","In which district was the majority of your household residing before arriving in your current location? ",NA,"Karukh","NA",0.00040992790689373,NA,-0.000395383936131167,0.00121523974991863,NA,NA
"175","In which district was the majority of your household residing before arriving in your current location? ",NA,"Keshem","NA",0.00056731724008682,NA,0.000106074433141013,0.00102856004703263,NA,NA
"176","In which district was the majority of your household residing before arriving in your current location? ",NA,"Keshendeh","NA",0.000443612235066231,NA,1.67258074760931e-05,0.00087049866265637,NA,NA
"177","In which district was the majority of your household residing before arriving in your current location? ",NA,"Khadir","NA",0.00109302515291101,NA,-5.44163676922816e-05,0.00224046667351431,NA,NA
"178","In which district was the majority of your household residing before arriving in your current location? ",NA,"Khak-e-Jabbar","NA",0.000387840246582445,NA,-0.000374647073646007,0.0011503275668109,NA,NA
"179","In which district was the majority of your household residing before arriving in your current location? ",NA,"Khak-e-Safed","NA",0.00218601536208829,NA,6.04881137601667e-05,0.00431154261041642,NA,NA
"180","In which district was the majority of your household residing before arriving in your current location? ",NA,"Khakrez","NA",0.00230979975984109,NA,0.00094311039730716,0.00367648912237501,NA,NA
"181","In which district was the majority of your household residing before arriving in your current location? ",NA,"Khamyab","NA",0.000252817338816582,NA,-7.72880145890022e-05,0.000582922692222166,NA,NA
"182","In which district was the majority of your household residing before arriving in your current location? ",NA,"Khan Abad","NA",0.00667079660610152,NA,0.00398710910006617,0.00935448411213687,NA,NA
"183","In which district was the majority of your household residing before arriving in your current location? ",NA,"Khan-e-Char Bagh","NA",0.000628738288415294,NA,0.000102149873527195,0.00115532670330339,NA,NA
"184","In which district was the majority of your household residing before arriving in your current location? ",NA,"Khanaqa","NA",0.00135770598939339,NA,0.000375852633301669,0.00233955934548511,NA,NA
"185","In which district was the majority of your household residing before arriving in your current location? ",NA,"Kharwar","NA",0.00158771236262314,NA,0.000246477759453336,0.00292894696579295,NA,NA
"186","In which district was the majority of your household residing before arriving in your current location? ",NA,"Khas Kunar","NA",0.000334568984924453,NA,-6.6675147539696e-05,0.000735813117388602,NA,NA
"187","In which district was the majority of your household residing before arriving in your current location? ",NA,"Khas Uruzgan","NA",0.00161189805567784,NA,0.000263506278445785,0.0029602898329099,NA,NA
"188","In which district was the majority of your household residing before arriving in your current location? ",NA,"Khash","NA",1.47387608501885e-05,NA,-1.4224181496298e-05,4.3701703196675e-05,NA,NA
"189","In which district was the majority of your household residing before arriving in your current location? ",NA,"Khenj","NA",8.33026332587775e-05,NA,-8.0410129426034e-05,0.000247015395943589,NA,NA
"190","In which district was the majority of your household residing before arriving in your current location? ",NA,"Khinjan","NA",0.000334357445984824,NA,3.60127056349474e-05,0.000632702186334701,NA,NA
"191","In which district was the majority of your household residing before arriving in your current location? ",NA,"Khogyani","NA",0.0122900578375998,NA,0.00787168479773647,0.0167084308774631,NA,NA
"192","In which district was the majority of your household residing before arriving in your current location? ",NA,"Khoshi","NA",8.40899321605947e-05,NA,-3.81724546506202e-05,0.00020635231897181,NA,NA
"193","In which district was the majority of your household residing before arriving in your current location? ",NA,"Khost Wa Fereng","NA",4.49542929946969e-05,NA,-1.60145659207091e-05,0.000105923151910103,NA,NA
"194","In which district was the majority of your household residing before arriving in your current location? ",NA,"Khulm","NA",0.000773736984385059,NA,8.22910498149977e-05,0.00146518291895512,NA,NA
"195","In which district was the majority of your household residing before arriving in your current location? ",NA,"Khuram Wa Sarbagh","NA",0.000297883213677346,NA,2.05675231730159e-05,0.000575198904181676,NA,NA
"196","In which district was the majority of your household residing before arriving in your current location? ",NA,"Khwaja Bahawuddin","NA",0.000674282632171044,NA,8.89647952139496e-05,0.00125960046912814,NA,NA
"197","In which district was the majority of your household residing before arriving in your current location? ",NA,"Khwaja Dukoh","NA",0.00169114846339049,NA,0.000100365726742787,0.00328193120003819,NA,NA
"198","In which district was the majority of your household residing before arriving in your current location? ",NA,"Khwaja Ghar","NA",0.00405193714298748,NA,0.000598674014236176,0.00750520027173879,NA,NA
"199","In which district was the majority of your household residing before arriving in your current location? ",NA,"Khwaja Hejran","NA",0.000333869865886793,NA,0.000110525665776471,0.000557214065997116,NA,NA
"200","In which district was the majority of your household residing before arriving in your current location? ",NA,"Khwaja Sabz Posh","NA",0.00635919931606096,NA,0.00339351872505714,0.00932487990706478,NA,NA
"201","In which district was the majority of your household residing before arriving in your current location? ",NA,"Khwaja Umari","NA",0.000433938264664333,NA,7.67356256100405e-05,0.000791140903718626,NA,NA
"202","In which district was the majority of your household residing before arriving in your current location? ",NA,"Kiti","NA",0.000219003736179592,NA,1.12045076869172e-05,0.000426802964672266,NA,NA
"203","In which district was the majority of your household residing before arriving in your current location? ",NA,"Khashrod","NA",0.000615244428456899,NA,0.000311998787283213,0.000918490069630585,NA,NA
"204","In which district was the majority of your household residing before arriving in your current location? ",NA,"Koh Band","NA",0.000325564282086183,NA,5.28172062520733e-05,0.000598311357920292,NA,NA
"205","In which district was the majority of your household residing before arriving in your current location? ",NA,"Koh-e-Safi","NA",0.000222063033785278,NA,1.33992316211814e-05,0.000430726835949375,NA,NA
"206","In which district was the majority of your household residing before arriving in your current location? ",NA,"Koh-i-Zor","NA",2.93952984747711e-05,NA,-2.83743067051713e-05,8.71649036547135e-05,NA,NA
"207","In which district was the majority of your household residing before arriving in your current location? ",NA,"Kohestan (Badakhshan)","NA",5.17124848713475e-05,NA,-1.38354543096514e-05,0.000117260424052346,NA,NA
"208","In which district was the majority of your household residing before arriving in your current location? ",NA,"Kohestanat","NA",0.00275497697989347,NA,0.000996202989368187,0.00451375097041876,NA,NA
"209","In which district was the majority of your household residing before arriving in your current location? ",NA,"Kohistan (Faryab)","NA",0.000198949348833123,NA,-6.47965141262215e-05,0.000462695211792467,NA,NA
"210","In which district was the majority of your household residing before arriving in your current location? ",NA,"Kohsan","NA",0.000101820309968827,NA,-9.84191061954277e-05,0.000302059726133082,NA,NA
"211","In which district was the majority of your household residing before arriving in your current location? ",NA,"Koran Wa Monjan","NA",0.000318411314647426,NA,5.64866627182927e-05,0.000580335966576559,NA,NA
"212","In which district was the majority of your household residing before arriving in your current location? ",NA,"Kot","NA",0.000184434405295317,NA,-0.000177547728702745,0.00054641653929338,NA,NA
"213","In which district was the majority of your household residing before arriving in your current location? ",NA,"Kunduz","NA",0.0107105500522084,NA,0.00694967712571396,0.0144714229787028,NA,NA
"214","In which district was the majority of your household residing before arriving in your current location? ",NA,"Kushk","NA",0.010906257850552,NA,-0.00134515442119967,0.0231576701223036,NA,NA
"215","In which district was the majority of your household residing before arriving in your current location? ",NA,"Kushk-e-Kuhna","NA",0.0023268111916028,NA,0.000618376694180492,0.0040352456890251,NA,NA
"216","In which district was the majority of your household residing before arriving in your current location? ",NA,"Kuz Kunar","NA",0.000337009373333049,NA,-0.000128828066941683,0.000802846813607781,NA,NA
"217","In which district was the majority of your household residing before arriving in your current location? ",NA,"Laja Mangel","NA",0.00123574898255621,NA,0.000138366012440156,0.00233313195267227,NA,NA
"218","In which district was the majority of your household residing before arriving in your current location? ",NA,"Lal Wa Sarjangal","NA",0.00498076642281399,NA,0.00135396535955794,0.00860756748607003,NA,NA
"219","In which district was the majority of your household residing before arriving in your current location? ",NA,"Lalpur","NA",0.00267133016456013,NA,0.000795419341010316,0.00454724098810995,NA,NA
"220","In which district was the majority of your household residing before arriving in your current location? ",NA,"Lash-e-Juwayn","NA",1.20810899167257e-05,NA,-1.16611957900542e-05,3.58233756235057e-05,NA,NA
"221","In which district was the majority of your household residing before arriving in your current location? ",NA,"Lashkargah","NA",0.00511304202481701,NA,0.00240720186200015,0.00781888218763387,NA,NA
"222","In which district was the majority of your household residing before arriving in your current location? ",NA,"Lija Ahmad Khel","NA",9.28880893333482e-05,NA,1.83562701198016e-06,0.000183940551654716,NA,NA
"223","In which district was the majority of your household residing before arriving in your current location? ",NA,"Mahmood-e-Raqi","NA",2.48138178674032e-05,NA,1.72977473279288e-06,4.78978610020134e-05,NA,NA
"224","In which district was the majority of your household residing before arriving in your current location? ",NA,"Malistan","NA",0.00641230667437226,NA,-0.00188049846002275,0.0147051118087673,NA,NA
"225","In which district was the majority of your household residing before arriving in your current location? ",NA,"Mandol","NA",4.10349302064383e-05,NA,9.14532277347088e-06,7.29245376394058e-05,NA,NA
"226","In which district was the majority of your household residing before arriving in your current location? ",NA,"Mandozayi","NA",2.37078350383741e-05,NA,-2.28730380906045e-05,7.02887081673527e-05,NA,NA
"227","In which district was the majority of your household residing before arriving in your current location? ",NA,"Marawara","NA",0.00161683271837086,NA,0.000573424678468504,0.00266024075827322,NA,NA
"228","In which district was the majority of your household residing before arriving in your current location? ",NA,"Mardyan","NA",0.000581678351894766,NA,0.000110399148454199,0.00105295755533533,NA,NA
"229","In which district was the majority of your household residing before arriving in your current location? ",NA,"Marja","NA",0.0244362893932155,NA,0.0150558281671302,0.0338167506193007,NA,NA
"230","In which district was the majority of your household residing before arriving in your current location? ",NA,"Markaz-e-Behsud","NA",0.00215923026164943,NA,0.000822058673734477,0.00349640184956437,NA,NA
"231","In which district was the majority of your household residing before arriving in your current location? ",NA,"Maruf","NA",0.00304165752938063,NA,0.00113107414363826,0.004952240915123,NA,NA
"232","In which district was the majority of your household residing before arriving in your current location? ",NA,"Mata Khan","NA",3.72353248298873e-05,NA,-1.81860461855559e-06,7.62892542783301e-05,NA,NA
"233","In which district was the majority of your household residing before arriving in your current location? ",NA,"Matun","NA",4.74950071844212e-05,NA,7.49053491749186e-07,9.42409608770933e-05,NA,NA
"234","In which district was the majority of your household residing before arriving in your current location? ",NA,"Maydan Shahr","NA",0.000862709891117237,NA,0.000258010982321895,0.00146740879991258,NA,NA
"235","In which district was the majority of your household residing before arriving in your current location? ",NA,"Maymana","NA",0.00138828557645835,NA,0.000363775469282275,0.00241279568363443,NA,NA
"236","In which district was the majority of your household residing before arriving in your current location? ",NA,"Maywand","NA",0.00507490924013449,NA,0.00266194342772735,0.00748787505254164,NA,NA
"237","In which district was the majority of your household residing before arriving in your current location? ",NA,"Mazar-e-Sharif","NA",0.00216597871961037,NA,0.00109899300119946,0.00323296443802128,NA,NA
"238","In which district was the majority of your household residing before arriving in your current location? ",NA,"Mehtarlam","NA",0.00429266128021299,NA,0.000678600151815669,0.0079067224086103,NA,NA
"239","In which district was the majority of your household residing before arriving in your current location? ",NA,"Mingajik","NA",0.000655483739567476,NA,-4.35810386986944e-05,0.00135454851783365,NA,NA
"240","In which district was the majority of your household residing before arriving in your current location? ",NA,"Mir Bacha Kot","NA",0.000204607770033878,NA,-3.97193549759832e-06,0.000413187475565354,NA,NA
"241","In which district was the majority of your household residing before arriving in your current location? ",NA,"Miramor","NA",0.000998379756422024,NA,0.000107578822321455,0.00188918069052259,NA,NA
"242","In which district was the majority of your household residing before arriving in your current location? ",NA,"Mirzaka","NA",1.39313311343883e-05,NA,-1.72049340317301e-06,2.95831556719496e-05,NA,NA
"243","In which district was the majority of your household residing before arriving in your current location? ",NA,"Miyanshin","NA",6.65120480917321e-05,NA,-3.07749409077706e-05,0.000163799037091235,NA,NA
"244","In which district was the majority of your household residing before arriving in your current location? ",NA,"Mizan","NA",0.00335865350662369,NA,0.00156898480213576,0.00514832221111162,NA,NA
"245","In which district was the majority of your household residing before arriving in your current location? ",NA,"Mohammad Agha","NA",0.00503282974624078,NA,0.00245108967582895,0.00761456981665262,NA,NA
"246","In which district was the majority of your household residing before arriving in your current location? ",NA,"Muhmand Dara","NA",0.000147931190992936,NA,-0.000142764604700494,0.000438626986686366,NA,NA
"247","In which district was the majority of your household residing before arriving in your current location? ",NA,"Muqur (Badghis)","NA",0.019973224717428,NA,0.011401904934467,0.0285445445003889,NA,NA
"248","In which district was the majority of your household residing before arriving in your current location? ",NA,"Muqur Ghazni","NA",0.00267449976674906,NA,0.000592728586065652,0.00475627094743247,NA,NA
"249","In which district was the majority of your household residing before arriving in your current location? ",NA,"Musa Khel","NA",0.000278782985439032,NA,8.80035402760363e-05,0.000469562430602028,NA,NA
"250","In which district was the majority of your household residing before arriving in your current location? ",NA,"Musa Qala","NA",0.00812961576333748,NA,0.00494016135871802,0.0113190701679569,NA,NA
"251","In which district was the majority of your household residing before arriving in your current location? ",NA,"Musahi","NA",0.000604389398250384,NA,-0.000187518763596329,0.0013962975600971,NA,NA
"252","In which district was the majority of your household residing before arriving in your current location? ",NA,"Nad Ali","NA",0.0115425450389126,NA,0.00622845062823297,0.0168566394495922,NA,NA
"253","In which district was the majority of your household residing before arriving in your current location? ",NA,"Nadir Shah Kot","NA",6.95377910895908e-05,NA,-2.20126151945486e-05,0.00016108819737373,NA,NA
"254","In which district was the majority of your household residing before arriving in your current location? ",NA,"Nahr-e-Saraj","NA",0.0164340574452416,NA,0.0111648538585151,0.0217032610319682,NA,NA
"255","In which district was the majority of your household residing before arriving in your current location? ",NA,"Nahr-e-Shahi","NA",0.000214074592566895,NA,-5.18110381653244e-05,0.000479960223299113,NA,NA
"256","In which district was the majority of your household residing before arriving in your current location? ",NA,"Nahrin","NA",0.00058244481804437,NA,0.000250491564709253,0.000914398071379487,NA,NA
"257","In which district was the majority of your household residing before arriving in your current location? ",NA,"Namak Ab","NA",0.00185827517709782,NA,0.000207405974911861,0.00350914437928377,NA,NA
"258","In which district was the majority of your household residing before arriving in your current location? ",NA,"Narang","NA",0.000246233884962872,NA,-0.000136460520160042,0.000628928290085785,NA,NA
"259","In which district was the majority of your household residing before arriving in your current location? ",NA,"Nari","NA",0.00132018451138296,NA,0.000210966292803998,0.00242940272996192,NA,NA
"260","In which district was the majority of your household residing before arriving in your current location? ",NA,"Nawa","NA",0.000905716495930112,NA,-0.000354607161862847,0.00216604015372307,NA,NA
"261","In which district was the majority of your household residing before arriving in your current location? ",NA,"Nawa-e-Barakzaiy","NA",0.0120328562854455,NA,0.00483438266649125,0.0192313299043996,NA,NA
"262","In which district was the majority of your household residing before arriving in your current location? ",NA,"Nawa-i-Mesh","NA",0.00073120731361992,NA,-4.70539108150566e-05,0.0015094685380549,NA,NA
"263","In which district was the majority of your household residing before arriving in your current location? ",NA,"Nawbahar","NA",0.000973135243108689,NA,0.0003269807087332,0.00161928977748418,NA,NA
"264","In which district was the majority of your household residing before arriving in your current location? ",NA,"Nawur","NA",0.00150224858157238,NA,7.48584963339944e-05,0.00292963866681076,NA,NA
"265","In which district was the majority of your household residing before arriving in your current location? ",NA,"Nawzad","NA",0.00288215249375254,NA,0.00082753363029682,0.00493677135720827,NA,NA
"266","In which district was the majority of your household residing before arriving in your current location? ",NA,"Nazyan","NA",0.000922172026476585,NA,-6.04869146832924e-07,0.0018449489221,NA,NA
"267","In which district was the majority of your household residing before arriving in your current location? ",NA,"Nerkh","NA",0.0049790506940307,NA,0.00247135837316577,0.00748674301489563,NA,NA
"268","In which district was the majority of your household residing before arriving in your current location? ",NA,"Nesh","NA",0.000107412974933377,NA,1.28287842330525e-05,0.000201997165633701,NA,NA
"269","In which district was the majority of your household residing before arriving in your current location? ",NA,"Nijrab","NA",0.00167624343229518,NA,0.000668779504873804,0.00268370735971656,NA,NA
"270","In which district was the majority of your household residing before arriving in your current location? ",NA,"Nika","NA",0.000301200639487113,NA,1.18149146063561e-05,0.00059058636436787,NA,NA
"271","In which district was the majority of your household residing before arriving in your current location? ",NA,"Nili","NA",0.00122643541910928,NA,-5.55901053964486e-05,0.002508460943615,NA,NA
"272","In which district was the majority of your household residing before arriving in your current location? ",NA,"Nurgal","NA",0.000764052896200187,NA,-6.46926532772576e-05,0.00159279844567763,NA,NA
"273","In which district was the majority of your household residing before arriving in your current location? ",NA,"Nurgaram","NA",4.88507714017838e-05,NA,-3.66633165754802e-05,0.000134364859379048,NA,NA
"274","In which district was the majority of your household residing before arriving in your current location? ",NA,"Obe","NA",0.00178836422293455,NA,0.000356006512629409,0.00322072193323969,NA,NA
"275","In which district was the majority of your household residing before arriving in your current location? ",NA,"Omna","NA",4.6437770447961e-06,NA,-4.48211910806548e-06,1.37696731976577e-05,NA,NA
"276","In which district was the majority of your household residing before arriving in your current location? ",NA,"Pachir Wa Agam","NA",0.00458999922671092,NA,0.00245734819640902,0.00672265025701282,NA,NA
"277","In which district was the majority of your household residing before arriving in your current location? ",NA,"Paghman","NA",0.00099636833730799,NA,5.04882196566821e-05,0.0019422484549593,NA,NA
"278","In which district was the majority of your household residing before arriving in your current location? ",NA,"Panjab","NA",0.000587729890906809,NA,0.000162010391120574,0.00101344939069304,NA,NA
"279","In which district was the majority of your household residing before arriving in your current location? ",NA,"Panjwayi","NA",0.00421158788536371,NA,0.000636026295303259,0.00778714947542417,NA,NA
"280","In which district was the majority of your household residing before arriving in your current location? ",NA,"Parun","NA",1.17688183156499e-06,NA,-3.04985782494584e-07,2.65874944562457e-06,NA,NA
"281","In which district was the majority of your household residing before arriving in your current location? ",NA,"Paryan","NA",4.87285623028953e-05,NA,-3.41419097053984e-05,0.000131599034311189,NA,NA
"282","In which district was the majority of your household residing before arriving in your current location? ",NA,"Pasaband","NA",0.00120333025441512,NA,0.00015789385981372,0.00224876664901651,NA,NA
"283","In which district was the majority of your household residing before arriving in your current location? ",NA,"Pashtun Kot","NA",0.00525810751461672,NA,0.0027541730355101,0.00776204199372334,NA,NA
"284","In which district was the majority of your household residing before arriving in your current location? ",NA,"Pashtun Zarghun","NA",0.000652953193068286,NA,-6.52365191749127e-05,0.00137114290531148,NA,NA
"285","In which district was the majority of your household residing before arriving in your current location? ",NA,"Patoo","NA",0.000755675738254033,NA,-8.904199498991e-05,0.00160039347149798,NA,NA
"286","In which district was the majority of your household residing before arriving in your current location? ",NA,"Pul-e-Alam","NA",0.00234866108825143,NA,0.00106534010476606,0.00363198207173681,NA,NA
"287","In which district was the majority of your household residing before arriving in your current location? ",NA,"Pul-e-Hisar","NA",0.000275454929314107,NA,-6.95514425785269e-05,0.000620461301206742,NA,NA
"288","In which district was the majority of your household residing before arriving in your current location? ",NA,"Pul-e-Khumri","NA",0.00162910937112922,NA,0.000484920675160734,0.0027732980670977,NA,NA
"289","In which district was the majority of your household residing before arriving in your current location? ",NA,"Pur Chaman","NA",0.000273330453124959,NA,3.74401734389146e-05,0.000509220732811004,NA,NA
"290","In which district was the majority of your household residing before arriving in your current location? ",NA,"Pushtrod","NA",0.000708687550733259,NA,0.000194636795538335,0.00122273830592818,NA,NA
"291","In which district was the majority of your household residing before arriving in your current location? ",NA,"Qadis","NA",0.0151112191016211,NA,0.00684939134913273,0.0233730468541095,NA,NA
"292","In which district was the majority of your household residing before arriving in your current location? ",NA,"Qaisar","NA",0.00941598363790532,NA,0.00141750592145535,0.0174144613543553,NA,NA
"293","In which district was the majority of your household residing before arriving in your current location? ",NA,"Qala-e-Kah","NA",0.00105434365421418,NA,-0.000161764381209106,0.00227045168963747,NA,NA
"294","In which district was the majority of your household residing before arriving in your current location? ",NA,"Qala-e-Naw","NA",0.0284708910615738,NA,0.0151237294725231,0.0418180526506244,NA,NA
"295","In which district was the majority of your household residing before arriving in your current location? ",NA,"Qala-e-Zal","NA",0.000736118985725764,NA,0.000165809768796072,0.00130642820265546,NA,NA
"296","In which district was the majority of your household residing before arriving in your current location? ",NA,"Qalandar","NA",6.76724775354599e-05,NA,-9.01727981527609e-07,0.000136246683052447,NA,NA
"297","In which district was the majority of your household residing before arriving in your current location? ",NA,"Qalat","NA",0.000218058585591339,NA,2.89719374286454e-05,0.000407145233754033,NA,NA
"298","In which district was the majority of your household residing before arriving in your current location? ",NA,"Qara Bagh","NA",0.000131108357735082,NA,-0.000108767701266223,0.000370984416736387,NA,NA
"299","In which district was the majority of your household residing before arriving in your current location? ",NA,"Qarabagh","NA",0.00402910292962298,NA,0.00143294286722463,0.00662526299202133,NA,NA
"300","In which district was the majority of your household residing before arriving in your current location? ",NA,"Qaram Qul","NA",0.00244444151990762,NA,0.000388203785327933,0.0045006792544873,NA,NA
"301","In which district was the majority of your household residing before arriving in your current location? ",NA,"Qarqin","NA",0.000622826930348663,NA,0.000108626095001745,0.00113702776569558,NA,NA
"302","In which district was the majority of your household residing before arriving in your current location? ",NA,"Qarghayi","NA",0.000788129082074538,NA,9.03076672058634e-05,0.00148595049694321,NA,NA
"303","In which district was the majority of your household residing before arriving in your current location? ",NA,"Qurghan","NA",0.0031777739758799,NA,0.00135319082041448,0.00500235713134533,NA,NA
"304","In which district was the majority of your household residing before arriving in your current location? ",NA,"Qush Tepa","NA",0.00655444409867953,NA,0.00397737219026805,0.009131516007091,NA,NA
"305","In which district was the majority of your household residing before arriving in your current location? ",NA,"Raghestan","NA",0.000882145877884913,NA,9.06192489606127e-05,0.00167367250680921,NA,NA
"306","In which district was the majority of your household residing before arriving in your current location? ",NA,"Rashidan","NA",3.56323353226218e-05,NA,-4.7796545688308e-06,7.60443252140743e-05,NA,NA
"307","In which district was the majority of your household residing before arriving in your current location? ",NA,"Reg","NA",0.000372776093039627,NA,-5.53697968390558e-05,0.00080092198291831,NA,NA
"308","In which district was the majority of your household residing before arriving in your current location? ",NA,"Reg-i-Khan Nishin","NA",0.000478760142755524,NA,-0.000216824153019551,0.0011743444385306,NA,NA
"309","In which district was the majority of your household residing before arriving in your current location? ",NA,"Rodat","NA",0.000628227978274125,NA,1.23573029391269e-05,0.00124409865360912,NA,NA
"310","In which district was the majority of your household residing before arriving in your current location? ",NA,"Rostaq","NA",0.003179501739154,NA,0.00148255162684264,0.00487645185146537,NA,NA
"311","In which district was the majority of your household residing before arriving in your current location? ",NA,"Rukha","NA",2.4449848531312e-05,NA,9.54888404765239e-06,3.93508130149717e-05,NA,NA
